RepRapFirmware height map file v2 generated at 2022-06-04 23:08
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
50.00,250.00,50.00,250.00,-1.00,25.00,25.00,9,9
  0.131,  0.093,  0.078,  0.026,  0.021,  0.010,  0.031,  0.081,  0.131
  0.133,  0.090,  0.073,  0.022,  0.023,  0.014,  0.035,  0.077,  0.139
  0.126,  0.075,  0.060,  0.018,  0.009,  0.007,  0.031,  0.074,  0.134
  0.104,  0.067,  0.064,  0.015, -0.006, -0.007,  0.024,  0.064,  0.121
  0.080,  0.046,  0.037, -0.012, -0.027, -0.014,  0.021,  0.055,  0.112
  0.094,  0.063,  0.041, -0.003, -0.012, -0.012,  0.013,  0.054,  0.119
  0.109,  0.073,  0.048,  0.006,  0.004, -0.006,  0.018,  0.067,  0.134
  0.120,  0.088,  0.059,  0.016,  0.013,  0.003,  0.028,  0.069,  0.137
  0.134,  0.098,  0.070,  0.018,  0.002,  0.014,  0.035,  0.083,  0.148
